instance,solver,perturbation_scheme,replication,distance,processing_time
gil262.tsp,solve_tsp_simulated_annealing,ps1,0,20403,43.23373708128929
gil262.tsp,solve_tsp_local_search,ps1,0,19726,0.24995658546686172
gil262.tsp,solve_tsp_simulated_annealing,ps2,0,5424,206.56911581009626
gil262.tsp,solve_tsp_local_search,ps2,0,5585,67.2552662268281
gil262.tsp,solve_tsp_simulated_annealing,ps3,0,3199,300.107169739902
gil262.tsp,solve_tsp_local_search,ps3,0,3467,135.30165378004313
gil262.tsp,solve_tsp_simulated_annealing,ps4,0,4938,147.1341037005186
gil262.tsp,solve_tsp_local_search,ps4,0,3420,300.00549993664026
gil262.tsp,solve_tsp_simulated_annealing,ps5,0,2681,105.79192335158587
gil262.tsp,solve_tsp_local_search,ps5,0,2529,53.890932850539684
gil262.tsp,solve_tsp_simulated_annealing,ps6,0,3921,300.1405716612935
gil262.tsp,solve_tsp_local_search,ps6,0,3313,300.00028187036514
gil262.tsp,solve_tsp_simulated_annealing,two_opt,0,2500,168.03436424583197
gil262.tsp,solve_tsp_local_search,two_opt,0,2608,40.502799928188324
pcb3038.tsp,solve_tsp_simulated_annealing,ps1,0,3968315,300.6904898956418
pcb3038.tsp,solve_tsp_local_search,ps1,0,4159702,51.76394261419773
pcb3038.tsp,solve_tsp_simulated_annealing,ps2,0,2557052,300.9596543163061
pcb3038.tsp,solve_tsp_local_search,ps2,0,2116886,300.0128105804324
pcb3038.tsp,solve_tsp_simulated_annealing,ps3,0,2539421,301.26229049265385
pcb3038.tsp,solve_tsp_local_search,ps3,0,3350677,300.00455318391323
pcb3038.tsp,solve_tsp_simulated_annealing,ps4,0,2656216,301.64376997202635
pcb3038.tsp,solve_tsp_local_search,ps4,0,3125718,300.00887586176395
pcb3038.tsp,solve_tsp_simulated_annealing,ps5,0,2023761,300.97360204160213
pcb3038.tsp,solve_tsp_local_search,ps5,0,1388683,300.0087372660637
pcb3038.tsp,solve_tsp_simulated_annealing,ps6,0,2618006,301.64575842767954
pcb3038.tsp,solve_tsp_local_search,ps6,0,3129714,300.0034731850028
pcb3038.tsp,solve_tsp_simulated_annealing,two_opt,0,2007754,300.9258101731539
pcb3038.tsp,solve_tsp_local_search,two_opt,0,1347185,300.0175458714366
u1432.tsp,solve_tsp_simulated_annealing,ps1,0,2931223,300.3119793087244
u1432.tsp,solve_tsp_local_search,ps1,0,3008722,8.801136463880539
u1432.tsp,solve_tsp_simulated_annealing,ps2,0,1492978,300.4393385723233
u1432.tsp,solve_tsp_local_search,ps2,0,974242,300.0014668405056
u1432.tsp,solve_tsp_simulated_annealing,ps3,0,1109924,300.59433049708605
u1432.tsp,solve_tsp_local_search,ps3,0,1486009,300.00782453268766
u1432.tsp,solve_tsp_simulated_annealing,ps4,0,1440725,300.7690151780844
u1432.tsp,solve_tsp_local_search,ps4,0,1529386,300.0083832591772
u1432.tsp,solve_tsp_simulated_annealing,ps5,0,693558,300.4694075509906
u1432.tsp,solve_tsp_local_search,ps5,0,427147,300.0031455680728
u1432.tsp,solve_tsp_simulated_annealing,ps6,0,1648179,300.76975985616446
u1432.tsp,solve_tsp_local_search,ps6,0,1518612,300.00148666650057
u1432.tsp,solve_tsp_simulated_annealing,two_opt,0,892786,300.440566919744
u1432.tsp,solve_tsp_local_search,two_opt,0,418393,300.00658651441336
rd100.tsp,solve_tsp_simulated_annealing,ps1,0,37509,13.376205295324326
rd100.tsp,solve_tsp_local_search,ps1,0,40463,0.05006207525730133
rd100.tsp,solve_tsp_simulated_annealing,ps2,0,13169,24.442717514932156
rd100.tsp,solve_tsp_local_search,ps2,0,14115,3.7298366725444794
rd100.tsp,solve_tsp_simulated_annealing,ps3,0,9539,23.616788126528263
rd100.tsp,solve_tsp_local_search,ps3,0,10438,8.124888695776463
rd100.tsp,solve_tsp_simulated_annealing,ps4,0,10312,39.36738430708647
rd100.tsp,solve_tsp_local_search,ps4,0,8592,107.35721123963594
rd100.tsp,solve_tsp_simulated_annealing,ps5,0,8785,16.02530111372471
rd100.tsp,solve_tsp_local_search,ps5,0,9118,2.2171027436852455
rd100.tsp,solve_tsp_simulated_annealing,ps6,0,11191,21.495339654386044
rd100.tsp,solve_tsp_local_search,ps6,0,8119,162.83424095064402
rd100.tsp,solve_tsp_simulated_annealing,two_opt,0,8513,16.986717835068703
rd100.tsp,solve_tsp_local_search,two_opt,0,8855,2.0659529864788055
rl5915.tsp,solve_tsp_simulated_annealing,ps1,0,33408093,301.3698906749487
rl5915.tsp,solve_tsp_local_search,ps1,0,32926626,206.30001493543386
rl5915.tsp,solve_tsp_simulated_annealing,ps2,0,27813634,301.94389901310205
rl5915.tsp,solve_tsp_local_search,ps2,0,24399271,300.0183272883296
rl5915.tsp,solve_tsp_simulated_annealing,ps3,0,28807667,302.60953176766634
rl5915.tsp,solve_tsp_local_search,ps3,0,35924850,300.02076582610607
rl5915.tsp,solve_tsp_simulated_annealing,ps4,0,29534728,303.40466217696667
rl5915.tsp,solve_tsp_local_search,ps4,0,31515041,300.030867010355
rl5915.tsp,solve_tsp_simulated_annealing,ps5,0,26203844,302.03416711091995
rl5915.tsp,solve_tsp_local_search,ps5,0,22338116,300.014426112175
rl5915.tsp,solve_tsp_simulated_annealing,ps6,0,29600897,303.37796521931887
rl5915.tsp,solve_tsp_local_search,ps6,0,32678100,300.0349848419428
rl5915.tsp,solve_tsp_simulated_annealing,two_opt,0,28319802,302.0123919248581
rl5915.tsp,solve_tsp_local_search,two_opt,0,21773236,300.0330489203334
kroA100.tsp,solve_tsp_simulated_annealing,ps1,0,115643,23.831524148583412
kroA100.tsp,solve_tsp_local_search,ps1,0,126712,0.038460873067379
kroA100.tsp,solve_tsp_simulated_annealing,ps2,0,38613,29.64990570396185
kroA100.tsp,solve_tsp_local_search,ps2,0,43647,2.675244465470314
kroA100.tsp,solve_tsp_simulated_annealing,ps3,0,28505,32.5847702473402
kroA100.tsp,solve_tsp_local_search,ps3,0,28844,11.260622762143612
kroA100.tsp,solve_tsp_simulated_annealing,ps4,0,29292,27.53345062583685
kroA100.tsp,solve_tsp_local_search,ps4,0,22818,97.23006400465965
kroA100.tsp,solve_tsp_simulated_annealing,ps5,0,23469,19.759067937731743
kroA100.tsp,solve_tsp_local_search,ps5,0,24653,2.1786480769515038
kroA100.tsp,solve_tsp_simulated_annealing,ps6,0,25591,48.38306447118521
kroA100.tsp,solve_tsp_local_search,ps6,0,21651,99.77866324782372
kroA100.tsp,solve_tsp_simulated_annealing,two_opt,0,21971,18.93898356705904
kroA100.tsp,solve_tsp_local_search,two_opt,0,23709,2.6491826251149178
pr124.tsp,solve_tsp_simulated_annealing,ps1,0,448331,30.804302759468555
pr124.tsp,solve_tsp_local_search,ps1,0,577259,0.06634747236967087
pr124.tsp,solve_tsp_simulated_annealing,ps2,0,157966,31.923199392855167
pr124.tsp,solve_tsp_local_search,ps2,0,141093,8.530928149819374
pr124.tsp,solve_tsp_simulated_annealing,ps3,0,85096,44.85776074975729
pr124.tsp,solve_tsp_local_search,ps3,0,81137,17.881977818906307
pr124.tsp,solve_tsp_simulated_annealing,ps4,0,95456,27.887663550674915
pr124.tsp,solve_tsp_local_search,ps4,0,60794,253.44664284586906
pr124.tsp,solve_tsp_simulated_annealing,ps5,0,62932,29.40054627507925
pr124.tsp,solve_tsp_local_search,ps5,0,68405,5.558121129870415
pr124.tsp,solve_tsp_simulated_annealing,ps6,0,87411,63.15813659876585
pr124.tsp,solve_tsp_local_search,ps6,0,59854,171.3416446968913
pr124.tsp,solve_tsp_simulated_annealing,two_opt,0,63671,16.064625665545464
pr124.tsp,solve_tsp_local_search,two_opt,0,65044,4.994846075773239
d1291.tsp,solve_tsp_simulated_annealing,ps1,0,1321687,300.2829236611724
